OFFICIAL_CATEGORY,CUSTOM_CATEGORY
GAME_SPORTS,ENTER
GAME_PUZZLE,ENTER
GAME_SIMULATION,ENTER
GAME_STRATEGY,ENTER
GAME_ROLE_PLAYING,ENTER
GAME_ACTION,ENTER
GAME_ARCADE,ENTER
GAME_RACING,ENTER
GAME_CASUAL,ENTER
GAME_MUSIC,ENTER
GAME_CARD,ENTER
GAME_ADVENTURE,ENTER
GAME_BOARD,ENTER
GAME_EDUCATIONAL,ENTER
PHOTOGRAPHY,ENTER
ENTERTAINMENT,ENTER
SPORTS,ENTER
MUSIC_AND_AUDIO,ENTER
COMICS,ENTER
VIDEO_PLAYERS_AND_EDITORS,ENTER
VIDEO_PLAYERS,ENTER
ART_AND_DESIGN,ENTER
TRAVEL_AND_LOCAL,INFO
FOOD_AND_DRINK,INFO
NEWS_AND_MAGAZINES,INFO
MAPS_AND_NAVIGATION,INFO
WEATHER,INFO
HOUSE_AND_HOME,INFO
BOOKS_AND_REFERENCE,INFO
SHOPPING,INFO
LIBRARIES_AND_DEMO,INFO
BEAUTY,INFO
AUTO_AND_VEHICLES,INFO
LIFESTYLE,INFO
PERSONALIZATION,SYSTEM
TOOLS,SYSTEM
COMMUNICATION,SOCIAL
SOCIAL,SOCIAL
DATING,SOCIAL
FINANCE,WORK
BUSINESS,WORK
PRODUCTIVITY,WORK
EDUCATION,WORK
HEALTH_AND_FITNESS,HEALTH
MEDICAL,HEALTH
UNKNOWN,UNKNOWN
